run_timestamp,site_name,origin_month,target_month,model_name,output_type,yhat
2026-05-10T09:39:40,Site L,2026-03,2026-08,XGBoost,forecast_flowrate,78.4621810913086
2026-05-10T09:39:40,Site L,2026-03,2026-08,XGBoost,lower_95,76.11358642578125
2026-05-10T09:39:40,Site L,2026-03,2026-08,XGBoost,upper_95,80.81077575683594
2026-05-10T09:39:40,Site L,2026-03,2026-09,XGBoost,forecast_flowrate,77.89894104003906
2026-05-10T09:39:40,Site L,2026-03,2026-09,XGBoost,lower_95,75.55034637451172
2026-05-10T09:39:40,Site L,2026-03,2026-09,XGBoost,upper_95,80.2475357055664
2026-05-10T14:15:21,Site K,2026-03,2026-04,XGBoost,forecast_flowrate,138.90817260742188
2026-05-10T14:15:21,Site K,2026-03,2026-04,XGBoost,lower_95,136.5742645263672
2026-05-10T14:15:21,Site K,2026-03,2026-04,XGBoost,upper_95,141.24208068847656
2026-05-10T14:15:21,Site K,2026-03,2026-05,XGBoost,forecast_flowrate,137.80584716796875
2026-05-10T14:15:21,Site K,2026-03,2026-05,XGBoost,lower_95,135.47193908691406
2026-05-10T14:15:21,Site K,2026-03,2026-05,XGBoost,upper_95,140.13975524902344
2026-05-10T14:15:21,Site K,2026-03,2026-06,XGBoost,forecast_flowrate,137.43626403808594
2026-05-10T14:15:21,Site K,2026-03,2026-06,XGBoost,lower_95,135.10235595703125
2026-05-10T14:15:21,Site K,2026-03,2026-06,XGBoost,upper_95,139.77017211914062
2026-05-10T14:15:21,Site K,2026-03,2026-07,XGBoost,forecast_flowrate,138.10516357421875
2026-05-10T14:15:21,Site K,2026-03,2026-07,XGBoost,lower_95,135.77125549316406
2026-05-10T14:15:21,Site K,2026-03,2026-07,XGBoost,upper_95,140.43907165527344
2026-05-10T14:15:21,Site K,2026-03,2026-08,XGBoost,forecast_flowrate,138.08819580078125
2026-05-10T14:15:21,Site K,2026-03,2026-08,XGBoost,lower_95,135.75428771972656
2026-05-10T14:15:21,Site K,2026-03,2026-08,XGBoost,upper_95,140.42210388183594
2026-05-10T14:15:21,Site K,2026-03,2026-09,XGBoost,forecast_flowrate,137.90538024902344
2026-05-10T14:15:21,Site K,2026-03,2026-09,XGBoost,lower_95,135.57147216796875
2026-05-10T14:15:21,Site K,2026-03,2026-09,XGBoost,upper_95,140.23928833007812
2026-05-10T15:08:40,Site K,2026-03,2026-04,XGBoost,forecast_flowrate,138.90817260742188
2026-05-10T15:08:40,Site K,2026-03,2026-04,XGBoost,lower_95,136.5742645263672
2026-05-10T15:08:40,Site K,2026-03,2026-04,XGBoost,upper_95,141.24208068847656
2026-05-10T15:08:40,Site K,2026-03,2026-05,XGBoost,forecast_flowrate,137.80584716796875
2026-05-10T15:08:40,Site K,2026-03,2026-05,XGBoost,lower_95,135.47193908691406
2026-05-10T15:08:40,Site K,2026-03,2026-05,XGBoost,upper_95,140.13975524902344
2026-05-10T15:08:40,Site K,2026-03,2026-06,XGBoost,forecast_flowrate,137.43626403808594
2026-05-10T15:08:40,Site K,2026-03,2026-06,XGBoost,lower_95,135.10235595703125
2026-05-10T15:08:40,Site K,2026-03,2026-06,XGBoost,upper_95,139.77017211914062
2026-05-10T15:08:40,Site K,2026-03,2026-07,XGBoost,forecast_flowrate,138.10516357421875
2026-05-10T15:08:40,Site K,2026-03,2026-07,XGBoost,lower_95,135.77125549316406
2026-05-10T15:08:40,Site K,2026-03,2026-07,XGBoost,upper_95,140.43907165527344
2026-05-10T15:08:40,Site K,2026-03,2026-08,XGBoost,forecast_flowrate,138.08819580078125
2026-05-10T15:08:40,Site K,2026-03,2026-08,XGBoost,lower_95,135.75428771972656
2026-05-10T15:08:40,Site K,2026-03,2026-08,XGBoost,upper_95,140.42210388183594
2026-05-10T15:08:40,Site K,2026-03,2026-09,XGBoost,forecast_flowrate,137.90538024902344
2026-05-10T15:08:40,Site K,2026-03,2026-09,XGBoost,lower_95,135.57147216796875
2026-05-10T15:08:40,Site K,2026-03,2026-09,XGBoost,upper_95,140.23928833007812
2026-05-12T04:05:27,Site K,2026-03,2026-04,XGBoost,forecast_flowrate,138.90817260742188
2026-05-12T04:05:27,Site K,2026-03,2026-04,XGBoost,lower_95,136.5742645263672
2026-05-12T04:05:27,Site K,2026-03,2026-04,XGBoost,upper_95,141.24208068847656
2026-05-12T04:05:27,Site K,2026-03,2026-05,XGBoost,forecast_flowrate,137.80584716796875
2026-05-12T04:05:27,Site K,2026-03,2026-05,XGBoost,lower_95,135.47193908691406
2026-05-12T04:05:27,Site K,2026-03,2026-05,XGBoost,upper_95,140.13975524902344
2026-05-12T04:05:27,Site K,2026-03,2026-06,XGBoost,forecast_flowrate,137.43626403808594
2026-05-12T04:05:27,Site K,2026-03,2026-06,XGBoost,lower_95,135.10235595703125
2026-05-12T04:05:27,Site K,2026-03,2026-06,XGBoost,upper_95,139.77017211914062
2026-05-12T04:05:27,Site K,2026-03,2026-07,XGBoost,forecast_flowrate,138.10516357421875
2026-05-12T04:05:27,Site K,2026-03,2026-07,XGBoost,lower_95,135.77125549316406
2026-05-12T04:05:27,Site K,2026-03,2026-07,XGBoost,upper_95,140.43907165527344
2026-05-12T04:05:27,Site K,2026-03,2026-08,XGBoost,forecast_flowrate,138.08819580078125
2026-05-12T04:05:27,Site K,2026-03,2026-08,XGBoost,lower_95,135.75428771972656
2026-05-12T04:05:27,Site K,2026-03,2026-08,XGBoost,upper_95,140.42210388183594
2026-05-12T04:05:27,Site K,2026-03,2026-09,XGBoost,forecast_flowrate,137.90538024902344
2026-05-12T04:05:27,Site K,2026-03,2026-09,XGBoost,lower_95,135.57147216796875
2026-05-12T04:05:27,Site K,2026-03,2026-09,XGBoost,upper_95,140.23928833007812
